idx,params_1,params_2,params_3,params_4,params_5,fitness_1,gen,train_params,archt_scores
100,9.0,27.0,5.0,7.0,5.0,8.0186,0.0,126744,846.9495007092605
101,8.0,5.0,19.0,26.0,4.0,7.147,0.0,70786,597.5690137986003
102,9.0,16.0,22.0,21.0,4.0,6.7604,0.0,220661,639.617253779235
103,8.0,21.0,22.0,13.0,5.0,6.7026,0.0,214083,742.260577665588
104,10.0,30.0,8.0,1.0,3.0,7.8475,0.0,84921,757.8393571681607
105,6.0,27.0,11.0,3.0,5.0,7.5141,0.0,86758,705.652586697738
106,3.0,28.0,9.0,39.0,2.0,7.3831,0.0,566017,648.7373630638446
107,7.0,19.0,10.0,46.0,4.0,6.7229,0.0,463514,632.7972055188548
108,2.0,26.0,3.0,34.0,1.0,22.3819,0.0,446321,518.6484703369049
109,2.0,8.0,5.0,3.0,3.0,6.7923,0.0,13197,-inf
110,1.0,25.0,28.0,29.0,3.0,7.0156,0.0,377106,487.9720806907041
111,3.0,26.0,5.0,42.0,4.0,6.3726,0.0,556279,625.3471141164846
112,6.0,17.0,13.0,34.0,5.0,7.4909,0.0,312988,636.9962798519236
113,1.0,19.0,3.0,44.0,5.0,22.4375,0.0,420040,360.02259790501347
114,10.0,3.0,24.0,28.0,2.0,22.3732,0.0,45975,577.3110716805802
115,5.0,18.0,29.0,39.0,4.0,6.777,0.0,399895,721.278813250538
116,8.0,28.0,26.0,25.0,5.0,6.5095,0.0,507973,787.2142297001631
117,10.0,8.0,28.0,2.0,1.0,43.6251,0.0,28729,766.3909697698562
118,3.0,10.0,17.0,37.0,3.0,6.8404,0.0,192571,-inf
119,6.0,3.0,16.0,17.0,3.0,7.8219,0.0,27539,-inf
120,7.0,13.0,26.0,25.0,1.0,22.3888,0.0,196216,665.9156386840335
121,3.0,21.0,30.0,9.0,2.0,7.2427,0.0,133804,611.2950253845231
122,5.0,24.0,27.0,22.0,1.0,22.377,0.0,339729,641.052000122849
123,1.0,16.0,14.0,10.0,4.0,7.6664,0.0,84697,146.0404503439003
124,10.0,23.0,3.0,44.0,2.0,8.4534,0.0,522774,641.679031796233
125,6.0,14.0,2.0,40.0,4.0,7.15,0.0,283405,506.2721842784429
126,7.0,15.0,2.0,7.0,4.0,7.7278,0.0,56046,-inf
127,3.0,1.0,2.0,39.0,5.0,43.384,0.0,20328,-inf
128,3.0,21.0,11.0,7.0,5.0,9.3481,0.0,88026,565.9653897433633
129,6.0,7.0,13.0,50.0,4.0,7.0526,0.0,181048,574.0004976226046
130,2.0,29.0,2.0,40.0,4.0,6.861,0.0,583701,530.4784675201857
131,10.0,21.0,30.0,22.0,1.0,68334389034813.82,0.0,363321,795.2597615039449
132,10.0,10.0,26.0,9.0,4.0,6.6317,0.0,73881,671.453083179013
133,5.0,30.0,24.0,44.0,1.0,22.3783,0.0,761831,697.7622704378614
134,9.0,28.0,26.0,13.0,1.0,621711.9833,0.0,360145,800.0875434852369
135,7.0,15.0,12.0,49.0,2.0,7.3605,0.0,388386,665.2943293233009
136,8.0,12.0,26.0,41.0,1.0,23.3401,0.0,279365,714.5369663394374
137,1.0,29.0,30.0,3.0,4.0,7.133,0.0,60990,461.1343507595177
138,5.0,29.0,1.0,34.0,5.0,21.9783,0.0,497770,705.9721678765351
139,10.0,29.0,7.0,15.0,1.0,43.4702,0.0,275134,792.6516870488236
140,9.0,23.0,17.0,27.0,5.0,7.2934,0.0,391012,686.9696870268333
141,5.0,4.0,5.0,28.0,5.0,22.375,0.0,57301,-inf
142,7.0,30.0,3.0,7.0,4.0,6.8904,0.0,123351,749.5652945555026
143,2.0,4.0,14.0,50.0,2.0,7.8212,0.0,102353,-inf
144,1.0,26.0,15.0,28.0,4.0,7.1256,0.0,372387,483.39339690785255
145,1.0,16.0,30.0,21.0,3.0,7.3504,0.0,178037,418.5151686732275
146,2.0,12.0,3.0,8.0,3.0,6.7769,0.0,49337,-inf
147,1.0,12.0,12.0,12.0,1.0,20.3387,0.0,75133,-inf
148,4.0,27.0,12.0,5.0,5.0,7.575,0.0,100433,670.8479858128956
149,3.0,7.0,1.0,14.0,1.0,22.4052,0.0,49540,-inf
150,1.0,10.0,12.0,45.0,1.0,18.1855,0.0,228311,347.9233106940231
151,10.0,8.0,28.0,10.0,2.0,22.4523,0.0,60889,770.4543616896756
152,8.0,4.0,16.0,23.0,3.0,8.3673,0.0,49565,611.3679742699769
153,3.0,1.0,7.0,24.0,3.0,22.3734,0.0,12638,-inf
154,8.0,10.0,10.0,36.0,3.0,7.19,0.0,189801,622.6117731840501
155,3.0,19.0,3.0,7.0,5.0,22.1457,0.0,70004,-inf
156,10.0,10.0,6.0,25.0,2.0,6.6635,0.0,132201,720.6331013731353
157,3.0,26.0,8.0,21.0,5.0,8.7984,0.0,288475,598.7737346875705
158,4.0,8.0,25.0,12.0,3.0,7.6012,0.0,57073,566.0937435382571
159,6.0,14.0,22.0,3.0,2.0,22.5424,0.0,48865,618.7369154676638
160,10.0,1.0,13.0,5.0,1.0,22.3728,0.0,2988,-inf
161,3.0,14.0,10.0,36.0,4.0,7.0601,0.0,259483,491.73491374926414
162,3.0,19.0,14.0,20.0,3.0,6.8065,0.0,205886,575.3515832508996
163,2.0,8.0,15.0,41.0,3.0,8.3015,0.0,168197,452.46655213975515
164,9.0,2.0,13.0,27.0,1.0,22.3746,0.0,28495,568.4557012087225
165,7.0,24.0,29.0,21.0,4.0,6.387,0.0,366733,646.0079124261158
166,4.0,12.0,10.0,31.0,1.0,22.376,0.0,193389,557.0250690231919
167,3.0,26.0,4.0,18.0,1.0,22.4151,0.0,241927,591.2082743395815
168,9.0,20.0,23.0,10.0,4.0,7.7201,0.0,183181,768.576251200723
169,7.0,6.0,25.0,27.0,4.0,6.7888,0.0,89983,635.7371431637982
170,3.0,8.0,15.0,22.0,5.0,14.479,0.0,92785,503.9226251867274
171,3.0,12.0,15.0,41.0,1.0,22.3726,0.0,254777,529.1757657447546
172,8.0,25.0,7.0,19.0,1.0,43.8306,0.0,272206,716.8706904034817
173,8.0,20.0,15.0,1.0,2.0,22.7382,0.0,58181,727.0463134839238
174,5.0,4.0,25.0,41.0,3.0,7.4109,0.0,86441,568.1950495324108
175,9.0,20.0,5.0,28.0,4.0,6.4908,0.0,298741,813.3318229744076
176,2.0,22.0,16.0,49.0,2.0,7.4917,0.0,554809,558.9756079256292
177,9.0,25.0,13.0,18.0,1.0,22.3727,0.0,297086,753.5519214308962
178,2.0,9.0,29.0,43.0,1.0,22.3957,0.0,201948,503.6351325479509
179,1.0,9.0,13.0,34.0,5.0,22.3471,0.0,156030,344.6366665828575
180,7.0,15.0,4.0,48.0,3.0,6.7957,0.0,367666,-inf
181,6.0,10.0,28.0,49.0,2.0,7.6704,0.0,265641,629.3703140420992
182,10.0,3.0,2.0,5.0,3.0,7.5406,0.0,7913,-inf
183,5.0,18.0,11.0,8.0,5.0,8.1192,0.0,90467,664.8181646697115
184,4.0,29.0,30.0,49.0,2.0,22.4134,0.0,804687,705.150953460026
185,2.0,14.0,28.0,19.0,3.0,6.9782,0.0,146737,507.0115853484107
186,9.0,5.0,19.0,34.0,2.0,22.4037,0.0,91426,620.5307455817182
187,9.0,4.0,14.0,41.0,5.0,13.406,0.0,85769,552.2876905888567
188,7.0,24.0,25.0,18.0,3.0,7.2931,0.0,314929,677.5206542362017
189,8.0,12.0,19.0,41.0,2.0,22.5002,0.0,270629,651.6276826161574
190,3.0,4.0,23.0,8.0,4.0,7.4883,0.0,18749,420.44779147791894
191,7.0,19.0,15.0,9.0,5.0,6.9077,0.0,124004,644.4648031406978
192,5.0,12.0,21.0,31.0,4.0,6.5035,0.0,203817,593.5079695550974
193,4.0,16.0,16.0,45.0,5.0,7.4287,0.0,378373,567.7827199397722
194,6.0,16.0,21.0,4.0,4.0,6.9524,0.0,65777,616.4468801492534
195,5.0,5.0,24.0,32.0,1.0,22.4028,0.0,85466,480.81081986897544
196,10.0,7.0,1.0,23.0,4.0,8.274,0.0,81612,-inf
197,7.0,29.0,1.0,34.0,1.0,22.3791,0.0,499510,764.9600917134882
198,2.0,22.0,24.0,43.0,4.0,6.5135,0.0,496081,566.2141891679615
199,1.0,12.0,2.0,8.0,5.0,22.9441,0.0,48653,-inf
